timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1621447584.958,0,59,48,4705,27805,59,62,229.53,16
1621447585.061,0,100,55,4705,27805,59,62,79.18,16
1621447585.164,0,100,55,4705,27805,59,61,193.81,16
1621447585.267,0,84,54,4705,27805,59,62,211.62,16
1621447585.372,0,100,57,4705,27805,60,62,219.25,16
1621447585.475,0,100,57,4705,27805,60,63,200.84,16
1621447585.577,0,100,71,4705,27805,60,63,131.86,16
1621447585.68,0,100,71,4705,27805,59,64,213.83,16
1621447585.783,0,93,65,4705,27805,60,64,233.96,16
1621447585.886,0,100,54,4705,27805,60,63,185.54,16
1621447585.989,0,100,54,4705,27805,60,62,209.47,16
1621447586.095,0,99,62,4705,27805,60,63,228.12,16
1621447586.198,0,100,58,4705,27805,60,63,205.18,16
1621447586.301,0,100,58,4705,27805,60,64,190.05,16
1621447586.404,0,100,70,4705,27805,59,63,58.84,16
1621447586.507,0,100,70,4705,27805,58,59,52.88,16
1621447586.61,0,10,4,4705,27805,57,58,78.1,16
1621447586.716,0,41,35,4705,27805,58,62,186.47,16
1621447586.819,0,41,35,4705,27805,59,62,233.74,16
1621447586.922,0,100,61,4705,27805,60,62,83.76,16
1621447587.025,0,66,44,4705,27805,59,61,203.07,16
1621447587.128,0,66,44,4705,27805,60,62,188.4,16
1621447587.231,0,100,53,4705,27805,60,62,189.91,16
1621447587.334,0,100,53,4705,27805,60,63,191.12,16
1621447587.438,0,100,64,4705,27805,60,64,211.31,16
1621447587.541,0,94,66,4705,27805,60,64,190.82,16
1621447587.644,0,94,64,4705,27805,61,64,230.78,16
1621447587.747,0,100,65,4705,27805,61,63,256.75,16
1621447587.85,0,100,65,4705,27805,60,64,176.24,16
1621447587.953,0,99,61,4705,27805,61,64,218.7,16
1621447588.056,0,100,53,4705,27805,61,63,212.09,16
1621447588.16,0,100,53,4705,27805,60,64,212.41,16
1621447588.263,0,100,69,4705,27805,61,64,161.7,16
1621447588.366,0,94,67,4705,27805,60,64,203.49,16
